text,pages,block_types
"全新第9代凯美瑞
足迹所至 即是未来
美学新次元
每一面都出色
\*新增赛博灰车色，随光线变幻，新亮点，很亮眼
LE 未来感超脱外观 专属中国市场的“赛博优雅”前脸设计
C字型前大灯吸睛造型，极具辨识度，再现高光时刻一体式进气格栅下格栅与保险杠融于一体，极具未来感的车身造型
PART 01
\*本页配置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*本页广告车型为：第9代凯美瑞2.0HG智能电混双擎尊贵版（已选装18英寸高光双色铝合金轮毂）。
SE & XSE 运动豪华不再二选一
环绕式车身高级镀铬饰条套件（前后保险杠、侧裙）（XSE）
19英寸金属高光铝合金轮毂（XSE）
运动专属加速/制动踏板
PART 01
驾趣新体验
动力更高效 性能更强劲
全新第9代 凯美瑞
技术再突破 智电双进阶
搭载全新2.0L第五代智能电混双擎，畅享智电出行
高性能发动机
采用VVT-iE和D-4S缸内直喷+进气歧管喷射技术，提升燃烧效率
三种驾驶模式可供选择（标准、经济、运动）
EV模式
切换至电驱模式，有效降低噪音，蓄电池输出能量最大化，拓宽纯电动机驱动的应用范围\*仅智能电混双擎车型搭载此模式
三种动力版本
2.0L汽油","0,1,2,3,4,5,6","page_number,text"
"D-4S缸内直喷+进气歧管喷射技术，提升燃烧效率
三种驾驶模式可供选择（标准、经济、运动）
EV模式
切换至电驱模式，有效降低噪音，蓄电池输出能量最大化，拓宽纯电动机驱动的应用范围\*仅智能电混双擎车型搭载此模式
三种动力版本
2.0L汽油
\*本产品手册中展示的内容根据车型各版本会有不同，具体以车型规格配置表为准。图片仅为广告示意，具体以实车为准。  
\*以上数据与中华人民共和国工业和信息化部备案一致，具体油耗会由于使用环境、驾驶方法、车型版本等不同而有所变化。  
\*本页广告车型为：第9代凯美瑞2.0HG智能电混双擎尊贵版（已选装18英寸高光双色铝合金轮毂）。
2.0L智能电混双擎
2.5L智能电混双擎
混合动力蓄电池
采用锂离子电池，每组输出功率增幅高达 $15\%$ ，实现更强劲动力
低油耗强动力
采用紧凑型设计的驱动桥与电动机协同运作，实现高输出和低损耗
WLTC综合工况油耗低至4.2L/100公里\*
动力输出更线性，为驾驶者提供持续加速的愉悦感
全新第9代 凯美瑞","6,7",text
"组输出功率增幅高达 $15\%$ ，实现更强劲动力
低油耗强动力
采用紧凑型设计的驱动桥与电动机协同运作，实现高输出和低损耗
WLTC综合工况油耗低至4.2L/100公里\*
动力输出更线性，为驾驶者提供持续加速的愉悦感
全新第9代 凯美瑞
\*本产品手册中展示的内容根据车型各版本会有不同，具体以车型规格配置表为准。图片仅为广告示意，具体以实车为准。  
\*以上数据是第9代凯美瑞2.0HE智能电混双擎精英版、第9代凯美瑞2.0HGVP智能电混双擎豪华版的油耗数据，与中华人民共和国工业和信息化部备案一致，具体油耗会由于使用环境、驾驶方法、车型版本等不同而有所变化。  
\*本页广告车型为：第9代凯美瑞2.0HS智能电混双擎运动版。
PART 02
TNGA-K平台 继承舒适性基因 提升操控性能
> 高刚性车身 > 高稳定性底盘 > 高效动力系统 > 双叉臂式独立后悬架
制动系统
HEV车采用全新的电子控制制动系统（新ECB系统），通过提高制动系统的响应性能提供了卓越的制动感引入APM7加速踏板，通过旋转轴的精减，提高踏板的响应性，实现更加动感的驾驶体验
精准转向
采用先进的齿条平行式电动转向系统（EPS），实现轻盈利落的转向感
刹车点头缓解系统
它通过不同车轮间制动力的适当分配，有效控制车辆俯仰角度，减少车辆“点头”现象，让刹车更平顺
此功能为提升在刹车过程中乘员的舒适度而开发","7,8","page_number,text"
"的驾驶体验
精准转向
采用先进的齿条平行式电动转向系统（EPS），实现轻盈利落的转向感
刹车点头缓解系统
它通过不同车轮间制动力的适当分配，有效控制车辆俯仰角度，减少车辆“点头”现象，让刹车更平顺
此功能为提升在刹车过程中乘员的舒适度而开发
TNGA Toyota New Global Architecture 丰巢概念
操控稳定
采用优化调整后的双叉臂式独立后悬架，进一步提升乘坐舒适性和操作稳定性
采用极微（低）速阀调整阀减震器，改善弹簧的平整度（贴合度）和平稳性，提供更舒适的乘坐体验
\*本页配置并非所有车型配置，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。
PART 02
智能新享法
数字化座舱 感官新体验
智能座舱再进化
AR风格化HUD抬头显示
多功能流媒体内后视镜
通过操作控制杆，可在光学后视镜模式和流媒体后视镜模式之间切换。不受头枕或行李等障碍物的影响，可让驾驶员看清后视野，从而确保了后方可视性。此外，不显示后排座椅，提高了乘员的私密性。为确保视野清晰，倒车摄像头还具有清洗功能
超强算力高通骁龙8155芯片
12GB运行内存+128GB存储内存具备出色计算处理能力，车载应用运行更流畅超4倍算力芯片加持，OTA升级后亦能应对自如
12.3英寸悬浮式中控大屏
丰田首个原生应用商店","8,9,10","page_number,text"
"确保视野清晰，倒车摄像头还具有清洗功能
超强算力高通骁龙8155芯片
12GB运行内存+128GB存储内存具备出色计算处理能力，车载应用运行更流畅超4倍算力芯片加持，OTA升级后亦能应对自如
12.3英寸悬浮式中控大屏
丰田首个原生应用商店
预装丰富的音乐、阅读和K歌资源，提供全方位的娱乐体验通过应用商店和小程序，随时随地获取各个领域的热门应用打造自有应用生态，全面保障用户的信息安全和驾驶安全智能香氛系统（可自由选择多种不同香氛棒）
\*“超4倍算力”为内部测试值，与第8代凯美瑞车机算力对比。  
\*本页配置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*本页广告车型为：第9代凯美瑞2.0HG智能电混双擎尊贵版、第9代凯美瑞2.5HQ智能电混双擎旗舰版。
语音控制切换香型，芯片自动识别香味智控香氛浓度，智能切换专属界面在智能科技的新境中，重释每一寸豪华感知
新空气质量监控系统TIACS（集成智能PM2.5监控/净化系统，nanoeTMX空气净化系统）
不仅搭载CN95空气滤芯，并且导入全天候智能空气质量监控系统TIACS。其功能可实现实时车内PM2.5值监控，并予以自动净化，给予您与家人最大限度的车内健康的空气质量保障","10,11","page_footnote,text"
"S（集成智能PM2.5监控/净化系统，nanoeTMX空气净化系统）
不仅搭载CN95空气滤芯，并且导入全天候智能空气质量监控系统TIACS。其功能可实现实时车内PM2.5值监控，并予以自动净化，给予您与家人最大限度的车内健康的空气质量保障
除此之外，还搭载了次世代nanoe™X（\*纳米级的水微粒离子）发生器，进一步增强车厢空气净化能力。与传统nanoe™相比，超微粒离子释放的OH自由基含量高出10倍，助力打造更为宜人的车内空气环境。nanoe™X巧妙内置于仪表板，通过右侧的空调系统通风口向乘客车厢释放超微粒离子，为您和家人的每一趟旅途注入清新与舒适
12.3英寸全液晶仪表盘
三种风格主题（休闲、智能、运动），搭配三种布局（无表盘、单表盘、双表盘）多种组合任意搭配，为您打造独特的个性风格
高级中控静电触控面板
手机无线充电
丰田首次采用，静电触摸与花纹透过式面板取消物理按键，所感，尽是科技的美感
搭载车规级无线充电模块全幅电磁感应识别单元，快速响应
\*本页配置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*本页广告车型为：第9代凯美瑞2.5HG智能电混双擎尊贵版。
人脸+声纹识别登录
快捷登录账号，即刻同步座椅、方向盘、车机系统等设置偏好，记住你的每一个使用习惯
数字钥匙系统","11,12",text
"情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*本页广告车型为：第9代凯美瑞2.5HG智能电混双擎尊贵版。
人脸+声纹识别登录
快捷登录账号，即刻同步座椅、方向盘、车机系统等设置偏好，记住你的每一个使用习惯
数字钥匙系统
手机即钥匙，靠近车辆即可实现无感解锁\*更可通过丰云行APP或小程序，将数字钥匙进行长期授权或临时分享
无需重复唤醒，在轻松的连续对话中，精准、快速响应多个指令
PVM全景监控系统（高画质）
可以实时确认车辆周围的情况。其透视功能，可让驾驶员透过车辆查看周围环境。侧方视野功能，可显示从车辆后上方观察车辆的图像，让驾驶员查看车辆侧面的安全情况。转弯视野功能，可帮助驾驶员避免在狭窄的道路上发生碰撞。如果检测到车辆附近有移动物体，系统会通过蜂鸣器和显示屏向驾驶员发出警报。可以通过语音控制显示全景影像，无需按下主开关或选择屏幕上的开关
\*无感解锁功能具体适用手机型号请前往丰云行APP查看。\*本页配置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*本页广告车型为：第9代凯美瑞2.5HQ智能电混双擎旗舰版、第9代凯美瑞2.5HG智能电混双擎尊贵版、第9代凯美瑞2.0HXS智能电混双擎运动PLUS版。
JBL高级环绕音响系统（11扬声器）全方位立体声环绕，打造全感官沉浸体验","12,13",text
"准。  
\*本页广告车型为：第9代凯美瑞2.5HQ智能电混双擎旗舰版、第9代凯美瑞2.5HG智能电混双擎尊贵版、第9代凯美瑞2.0HXS智能电混双擎运动PLUS版。
JBL高级环绕音响系统（11扬声器）全方位立体声环绕，打造全感官沉浸体验
\*本页配置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*本页广告车型为：第9代凯美瑞2.5HG智能电混双擎尊贵版、第9代凯美瑞2.5HQ智能电混双擎旗舰版。
尊享静谧空间
通过布置多处吸/隔音材料，及采用隔音玻璃（前挡、前后侧窗）提升车身密封性，有效抑制外界声音的侵入实现了出色的全车静谧性
全景天幕 $1.03\mathrm{m}^2$ \*穹顶采光面，多层纳米镀银技术隔热锁温；舒享您的专属沉浸视界
\*本页配置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*本页广告车型为：第9代凯美瑞2.5HG智能电混双擎尊贵版。\*该数据为内部设计数据。
PART 03
极简美学设计
白色内饰，将天然的优雅与精致融入每一寸肌理采用抗污涂层科技，让华丽没有后顾之忧
人体工程学设计提供更好的身体支撑，带来更舒适的乘坐体验
全维舒适座驾
高级环保麂皮绒座椅
SE/XSE车型导入生态麂皮绒材质Dinamica®，独特的三层环保材料和水性生态拼接工艺，舒适从落座那一刻开始","13,14,15","page_footnote,page_number,text"
"采用抗污涂层科技，让华丽没有后顾之忧
人体工程学设计提供更好的身体支撑，带来更舒适的乘坐体验
全维舒适座驾
高级环保麂皮绒座椅
SE/XSE车型导入生态麂皮绒材质Dinamica®，独特的三层环保材料和水性生态拼接工艺，舒适从落座那一刻开始
\*本页配置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*本页广告车型为：第9代凯美瑞2.0HS智能电混双擎运动版、第9代凯美瑞2.5HG智能电混双擎尊贵版。
丰云悦享 丰田智行互联 Toyota Connect
基于丰田智行互联，全系导入DCM(数据通信模块)，在紧急情况下为您及时提供援助，第一时间为您保驾护航。您可以对车辆进行车况查询及远程控制，车辆情况随时一手掌握。
“Just in Time”时刻在线24小时365天与世界互联，丰富多样的驾乘体验，为您带来愉悦的出行生活享受。“Just in Time”服务，仅适用于紧急救援/道路救援、被盗追踪。
\*图片仅为示意，具体显示以丰云行APP为准。
PART 03
安全新表现
全面的守护 全程的安心
全新Toyota Pilot智能领航开启智能驾驶辅助新篇章
PART 04
智感安全引领 开启智能领航新方式
▶PCS预碰撞安全系统（带前方行人识别）","15,16,17,18","page_footnote,page_number,text"
"为示意，具体显示以丰云行APP为准。
PART 03
安全新表现
全面的守护 全程的安心
全新Toyota Pilot智能领航开启智能驾驶辅助新篇章
PART 04
智感安全引领 开启智能领航新方式
▶PCS预碰撞安全系统（带前方行人识别）
通过毫米波雷达和单目摄像头检测前方车辆、行人（昼夜）、自行车骑行者（昼夜）或摩托车（白天），并通过警报器和多功能信息显示屏告知碰撞的可能性。踏下制动踏板时启动预碰撞制动辅助，如果没有踏下制动踏板，将自动启动预碰撞制动，有效防止碰撞或减轻损害。当检测对象为车辆、摩托车时，系统会在自车车速约 $5\mathrm{km / h}$ 以上时运行，以规避碰撞或减少驾驶者伤害；
当系统判定与行人、自行车骑行者、摩托车或车辆发生碰撞的可能性较高时，并且在自车道内有足够的空间避开，驾驶者操作方向盘避让时，该系统将提供转向辅助，以确保车辆的稳定性并辅助抑制车道偏离。当系统判定自车道内无足够空间避开，或者避开的前方有物体时，此功能将不发生作用；
在十字路口左转，对向有车辆直行时，或者在十字路口左/右转，人行横道有行人穿越时，通过毫米波雷达和单目摄像头进行识别，并且通过警报器以及多功能信息显示屏告知碰撞的可能性，启动预碰撞制动，辅助驾驶者有效避免碰撞或减轻伤害。",18,text
