text,pages,block_types
"www.carobook.com
为安全和舒适起见，请仔细阅读并随车保留备用。
COROLLA CROSS
生产企业：一汽丰田汽车有限公司
客服电话：400-810-1210(手机拨打)800-810-1210(座机拨打)
3-2. 打开、关闭和锁止车门
侧门....88
背门....92
智能进入和起动系统...103
3-3. 调节座椅
前排座椅....108
后排座椅....109
头枕....111
3-4. 调节方向盘和后视镜
方向盘....114
内后视镜....115
外后视镜....116
3-5. 打开和关闭车窗
电动车窗....118
天窗....120
全景天窗....123
3-6. 常用设定
我的设置....127
4 驾驶
4-1. 驾驶前
驾驶车辆....132
货物和行李....137
拖拽挂车....139
4-2. 驾驶规范
发动机（点火）开关（不带智能进入和起动系统的车辆）....140
发动机（点火）开关（带智能进入和起动系统的车辆）....141
无级变速器....145
转向信号灯控制杆....148
驻车制动....148","0,2",text
".139
4-2. 驾驶规范
发动机（点火）开关（不带智能进入和起动系统的车辆）....140
发动机（点火）开关（带智能进入和起动系统的车辆）....141
无级变速器....145
转向信号灯控制杆....148
驻车制动....148
参考信息....5  
阅读本手册....10  
如何检索....11  
图片索引....12  
1 安全须知  
1-1. 安全使用须知  
驾驶前....22  
安全驾驶....23  
座椅安全带....24  
SRS空气囊....28  
废气注意事项....34  
1-2. 儿童安全  
儿童乘坐信息....36  
儿童保护装置....36  
1-3. 紧急救援  
丰田智行互联....51  
1-4. 防盗系统  
发动机停机系统....65  
警报....66  
2 车辆状态信息和指示灯  
2-1. 仪表组  
警告灯和指示灯....70  
仪表....73  
多信息显示屏....76  
燃油消耗信息....80  
3 驾驶前  
3-1. 钥匙信息  
钥匙....84制动保持 ..... 151
4-3. 打开和关闭车窗
前照灯开关 ..... 154
AHB（自动远光） ..... 156
雾灯开关 ..... 158
风挡玻璃刮水器和喷洗器 ..... 159
后风挡玻璃刮水器和喷洗器 ..... 161
4-4. 加注燃油
打开燃油箱盖 ..... 162
4-5. 使用驾驶辅助系统
Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装）软件更新 ..... 164
Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装） ..... 166
PCS（碰撞预测系统） ..... 171
LTA（车道保持辅助） ..... 180
LDA（车道偏离警示） ..... 185
PDA（主动驾驶辅助） ..... 190
动态雷达巡航控制 ..... 195
巡航控制 ..... 204
RSA（路标辅助） ..... 207
紧急停车系统 ..... 209
停机和起动系统 ..... 211
丰田驻车辅助传感器 ..... 216
行驶模式选择开关 ..... 221
GPF（汽油微粒过滤器）系统 ..... 222
驾驶辅助系统 ..... 224
4-6. 驾驶要领
冬季驾驶要领 ..... 228
多功能车辆注意事项 ..... 230",2,text
"感器 ..... 216
行驶模式选择开关 ..... 221
GPF（汽油微粒过滤器）系统 ..... 222
驾驶辅助系统 ..... 224
4-6. 驾驶要领
冬季驾驶要领 ..... 228
多功能车辆注意事项 ..... 230
5 车内装备
5-1. 使用空调系统和除雾器
手动空调系统（A型）.. 234
手动空调系统（B型）.. 238
自动空调系统 ..... 243
5-2. 使用车内灯
车内灯列表 ..... 250
5-3. 使用储物装置
储物装置列表 ..... 252
行李厢装置 ..... 255
5-4. 其他车内装备
其他车内装备 ..... 257
6 保养和维护
6-1. 保养和维护
清洁和保护车辆外饰 .. 262
清洁和保护车辆内饰 .. 264
6-2. 保养
保养须知 ..... 267
定期保养 ..... 269
6-3. 自行保养
自行保养注意事项 ..... 274
发动机盖 ..... 276
定位卧式千斤顶 ..... 277
发动机舱 ..... 278
轮胎 ..... 284
轮胎气压 ..... 294
车轮 ..... 295
空调滤清器 ..... 297
无线遥控/电子钥匙电池 ..... 298
检查和更换保险丝 ..... 301
1
2
3
4
5
6
7
8",3,"aside_text,text"
".. 278
轮胎 ..... 284
轮胎气压 ..... 294
车轮 ..... 295
空调滤清器 ..... 297
无线遥控/电子钥匙电池 ..... 298
检查和更换保险丝 ..... 301
1
2
3
4
5
6
7
8
灯泡....303
7 出现故障时
8-3. 初始化
初始化项目....367
索引
7-1. 重要信息
危险告警灯....310
如果紧急情况下必须停车....310
如果车辆浸入水中或路面上的水位上升....311
7-2. 紧急情况下应采取的措施
如果车辆需要拖拽....313
如果认为车辆异常....316
燃油泵关闭系统....316
如果警告灯点亮或警告蜂鸣器鸣响....317
如果显示警告信息....324
如果轮胎泄气....327
如果发动机不能起动....334
如果钥匙丢失....335
如果电子钥匙不能正常工作....336
如果车辆蓄电池电量耗尽....338
如果车辆过热....342
如果发生陷车....344
8 车辆规格
8-1. 规格
保养数据（燃油、机油油位等）....346
燃油信息....358
8-2. 定制
可定制功能....359
参考信息
用户手册须知
请注意，本手册适用于所有车型，并对包括选装件在内的所有设备进行了说明。因此，手册中所描述的某些设备可能并未在您车辆上安装。","4,5",text
"机油油位等）....346
燃油信息....358
8-2. 定制
可定制功能....359
参考信息
用户手册须知
请注意，本手册适用于所有车型，并对包括选装件在内的所有设备进行了说明。因此，手册中所描述的某些设备可能并未在您车辆上安装。
本手册提供的所有规格到手册付印时为止均为最新资料。但是，由于丰田会对产品进行不断地改进，因此本手册所含内容会随时更新，届时恕不另行通知。
由于规格不同，图中所示车辆在装备方面可能与您的车辆有所差异。 www.car
关闭发动机后从车辆底部 发出噪音
关闭发动机后约5 小时，可能会听到从车辆底部发出的声音，并持续数分钟。这是燃油蒸汽泄漏检查的声音，并不表示存在故障。
丰田车的附件、备件和改装
现在我们不仅可以买到丰田纯正零部件，也可以买到其他各种适用于丰田车的备件和附件。假如需要更换原车丰田纯正零部件，丰田公司建议使用纯正丰田品牌加以更换，也可以使用其他符合质量要求的零部件。
对于非纯正丰田备件和附件以及使用非纯正丰田备件和附件进行更换和安装，丰田公司不提供任何保证并不承担任何责任和义务。此外，由于使用非纯正丰田品牌备件或附件而引起的车辆损坏和性能问题，均不在保修范围之内。
不可使用非纯正丰田品牌产品改装车辆，否则将会影响车辆的操作性，安全性和耐久性，同时有可能会触犯当地政府条例。此外，因改装引起的车辆损坏和性能问题，均不在保修范围之内。",5,text
"非纯正丰田品牌备件或附件而引起的车辆损坏和性能问题，均不在保修范围之内。
不可使用非纯正丰田品牌产品改装车辆，否则将会影响车辆的操作性，安全性和耐久性，同时有可能会触犯当地政府条例。此外，因改装引起的车辆损坏和性能问题，均不在保修范围之内。
而且，这些改装将对先进的安全设备（如 Toyota SafetySense智行安全 [ 丰田规避碰撞辅助套装]）产生影响，其可能无法正常工作或在不应工作的情况下工作。
网络攻击风险
安装电子设备和收音机会增加经由安装部件遭受网络攻击的风险，这可能导致意外事故和个人信息泄露。对于因安装非纯正丰田产品引起的问题，丰田公司不提供任何担保。
安装射频发射器系统
在车辆上安装射频发射器系统可能会影响电子系统，例如:
多点式燃油喷射系统/顺序多点式燃油喷射系统
 Toyota Safety Sense智行安全（丰田规避碰撞辅助套装）
防抱死制动系统
SRS空气囊系统
座椅安全带预张紧器系统请务必向丰田汽车经销商咨询，了解有关安装射频发射器系统的防范措施或特别指示。
有关射频波段、功率电平、天线位置和射频发射器安装规定的详情，请咨询您的丰田汽车经销商。
车辆数据记录
本车配备精密计算机，将记录www.car与车辆控制和操作相关的特定数据。
计算机记录的数据
根据各功能的工作时间和状态记录特定数据，例如下列数据。","5,6",text
"段、功率电平、天线位置和射频发射器安装规定的详情，请咨询您的丰田汽车经销商。
车辆数据记录
本车配备精密计算机，将记录www.car与车辆控制和操作相关的特定数据。
计算机记录的数据
根据各功能的工作时间和状态记录特定数据，例如下列数据。
• 发动机转速/电机转速（牵引电机转速）
• 加速器状态
• 制动器状态
• 车速
• 驾驶辅助系统工作状态
• 摄像机图像
本车配备摄像机。有关记录摄像机的位置，请联系您的丰田汽车经销商。
记录的数据根据车辆级别和车辆所配备选装件的不同而不
同。
这些计算机不会记录会话或声音，并且仅在特定情况下记录车外图像。
 数据用途
丰田公司可使用这些计算机记录的数据来诊断故障、进行科研开发，进而提高产品质量。
除下列情况外，丰田公司不会将所记录的数据披露给第三方:
• 经车主或车辆承租人（如果将车辆出租）的同意
• 应公安局、法院或政府部门的官方要求
• 丰田公司在法律诉讼中使用
• 将与具体车辆或车主无关的数据用于科研
<sub>丰田汽车经销商可删除车辆记录的</sub>book.com图像信息。
可禁用图像记录功能。但是，如果禁用此功能，将无法获得系统工作数据。
如果您希望丰田服务器停止收集Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装）数据（用于科研开发和提供个人服务），请联系您的丰田汽车经销商。",6,text
"像信息。
可禁用图像记录功能。但是，如果禁用此功能，将无法获得系统工作数据。
如果您希望丰田服务器停止收集Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装）数据（用于科研开发和提供个人服务），请联系您的丰田汽车经销商。
通过丰田智行互联收集的数据的用途
如果您的丰田车具有丰田智行互联功能且订购了此服务，请参见丰田智行互联使用合约，了解有关数据收集及其用途的信息。
行驶记录仪
本车配备有行驶记录仪(EDR)。EDR 的主要用途是记录某种碰撞或近似碰撞（如空气囊展开或撞到路边障碍物）时的数据，从而有助于了解车辆系统的运行情况。EDR用于记录短时间内（一般为30秒或更短）与车辆动态系统和安全系统相关的数据。然而，根据碰撞的严重程度和类型，也可能不会记录数据。
本车的EDR记录下列数据:• 车内各系统的运行情况；
• 驾驶员踩下加速踏板和/或制动踏板的程度（是否完全踩下）；和 www.car
• 车辆的行驶速度。
这些数据有助于更好地了解碰撞及造成伤害时的情况。
请注意:车辆仅在发生重大碰撞事故时记录EDR数据；正常驾驶条件下，EDR不会记录数据和个人数据（如姓名、性别、年龄及碰撞位置）。但是在碰撞事故调查期间，第三方（如执法部门）会将EDR数据与日常获得的个人识别类型数据结合起来。","6,7",text
"伤害时的情况。
请注意:车辆仅在发生重大碰撞事故时记录EDR数据；正常驾驶条件下，EDR不会记录数据和个人数据（如姓名、性别、年龄及碰撞位置）。但是在碰撞事故调查期间，第三方（如执法部门）会将EDR数据与日常获得的个人识别类型数据结合起来。
要读取EDR记录的数据，需要专用设备并获得车辆或EDR的使用权。除车辆制造厂外，拥有专业设备的第三方（如执法部门）在授权使用车辆或EDR时可读取信息。
披露 EDR 数据
除下列情况外，丰田公司不会将EDR记录的数据披露给第三方:
• 经车主（或车辆承租人）同意
• 应公安局、法院或政府部门的官方要求
• 丰田公司在法律诉讼中使用但是，如有必要，丰田公司可能会 :
• 使用数据进行车辆安全性能研发
• 向第三方披露数据（不披露有关具体车辆或车主的信息）进行科研
购买EDR数据信息读取工具
可使用 “Bosch CDR DLC Basekit” (Bosch Crash Data Retrieval
要购买 “Bosch CDR DLC Basekit”，请从下面的分销商主页查看零售商和联系方式等所需信息。此外，浏览主页前需进行注册。分销商主页
• 一汽丰田汽车销售有限公司 :http://www.ftms.com.cn/
从EDR控制器中提取数据的方法
使用符合 GB39732-2020 要求的EDR数据提取工具连接车辆诊断连接器或",7,text
"信息。此外，浏览主页前需进行注册。分销商主页
• 一汽丰田汽车销售有限公司 :http://www.ftms.com.cn/
从EDR控制器中提取数据的方法
使用符合 GB39732-2020 要求的EDR数据提取工具连接车辆诊断连接器或
气囊ECU连接器以提取 EDR数据。
A级数据元素中车辆速度的数据源的说明
将各轮胎的车速传感器的平均值
作为车辆速度的数据源。
非锁定事件存储覆盖机制和可覆盖的事件类型等内容的说明
依据 GB39732-2020 4.3.4.1 的规定，
非锁定事件可按照时间顺序依次被后续事件覆盖。
除此之外无其他覆盖机制。
智能控制功能实现方式及相关数据元素等内容的声明
GB39732-2020 表 3 中列出的智能控制功能 (定速巡航系统、自适应巡航系统、
防抱死制动系统、自动紧急制动系统、电子稳定性控制系统和牵引力控制系统)
状态相关数据元素，按照<sub>GB39732-2020 的要求进行记</sub>www.caro录，
这些功能未集成在其他系统中，也未记录在其他系统中。
驾驶车辆时
取得驾驶证后方可在道路上驾驶车辆。
遵守各地区法规及指定的交通法规，时刻谨记安全驾驶。
报废丰田车","7,8",text
