text,pages,block_types
"第一章 汽车自诊断概论
一、汽车自诊断的发展历程",0,text
在最早期的汽车发动机控制系统中，用于对发动机进行控制的电控单元只能对发动机的运行提供非常简单的控制，而且并不具备自我检测（自诊断）的能力，因此不能向汽车维修人员提供任何有价值的信息。维修人员在维修这种车辆时，只能借助万用表等简单的测量仪器对控制单元接头各个电路的电压、电阻和电流进行测试，然后将测试的结果与设定值进行比较，从而对故障进行分析判断，由于获得的测试数据有限，很难对故障做出明确清晰的诊断。因此，以后开发的控制单元就增加了简单的自诊断的功能，即在控制发动机运行的同时，检测各个输入和输出信号，当发现在标定时所设定的故障现象，比如电路断路、电位的变化不正确或某些信号不合理时，将设定相应的故障诊断代码（即以一定的代码表示相应的信号故障）并点亮故障指示灯，提示驾驶员控制单元已经检查到了故障，应尽快将车送入维修厂维修，在对这些车辆进行维修时，维修人员可以用相应的仪器或采用一定的触发方式读取控制单元中存储的故障码，故障码为维修人员提示了进一步的故障检查方向，但由于此时的控制单元只能向维修人员提供故障码，仍不能满足维修人员对故障信息丰富程度的要求，因此在其后开发的控制单元功能中除了存储故障码的功能外又增加了数据流的功能，即利用仪器从数据流中读取故障码、运行的数据参数和执行双向指令（即通过仪器可向控制单元发出指令，驱动某些控制单元工作以便动态地检查这些部件）。以上这些系统被统称为OBD-I（第一代随车诊断系统）。OBD-I系统的故障码形式是不统一的，各个汽车制造厂根据所生产车型配备控制单元的水平和不同的用途需要，自行规定了各自不同形式的故障码，读取故障码的方法也各有不同。这种诊断方法有很大的缺点：首先是诊断方法过多过乱，由于各个汽车制造厂的车型自成体系，而且诊断方法随着生产年代还有不同的变化；其次是诊断的内容过于单一，不能适应汽车控制单元发展的需要。同时诊断装置不具有通用性，不能使用统一的诊断设备进行故障诊断，给汽车的售后服务、检测和维修带来很大不便，因此OBD-I系统不能适应现代汽车结构日趋先进、电子控制单元升级换代的要求，不能实现控制单元向标准化、智能化方向的发展。,0,text
"单元发展的需要。同时诊断装置不具有通用性，不能使用统一的诊断设备进行故障诊断，给汽车的售后服务、检测和维修带来很大不便，因此OBD-I系统不能适应现代汽车结构日趋先进、电子控制单元升级换代的要求，不能实现控制单元向标准化、智能化方向的发展。
在 1994～1995 年，美国汽车工程师协会（SAE）为进一步推行更加严格的排放法规和加强 I/M（检查/维护）制度，要求从 1996 年起，所有在美国生产的汽车和所有进口到美国的其他各国生产的汽车都必须采用 OBD-Ⅱ（第二代随车诊断系统）。美国汽车工程师协会对该系统诊断座的位置、诊断座样式和插脚、故障码的编排与分类均做了详细的规定。该系统目前已被世界上绝大多数汽车生产厂家所采用。
第一章 汽车自诊断概论
二、OBD-Ⅱ系统的特点","0,1","aside_text,text"
"车都必须采用 OBD-Ⅱ（第二代随车诊断系统）。美国汽车工程师协会对该系统诊断座的位置、诊断座样式和插脚、故障码的编排与分类均做了详细的规定。该系统目前已被世界上绝大多数汽车生产厂家所采用。
第一章 汽车自诊断概论
二、OBD-Ⅱ系统的特点
制定 OBD-Ⅱ标准的目的在很大程度上是出于对环境保护的考虑，美国加州空气资源委员会（CARB）在调查车辆运行状态的研究中发现，如果汽车的控制单元或排放系统发生了故障并且点亮故障指示灯进行提示时，汽车排放过量已经持续了相当长的时间，已经对环境造成了污染，为此必须制订出一种新的监测排放系统性能的标准，能及时掌握监测并控制排放的结果，这就是能对发动机的运行工况、电子控制系统和排放系统进行监控的OBD-Ⅱ随车诊断标准。该标准经美国联邦环保局认可实行后，证明对提高车辆的运行水平，控制排放对环境的污染方面起到了不可估量的作用。OBD-Ⅱ与传统的OBD-Ⅰ系统相比，后者只具有发现并记录部件和系统故障的能力，而前者则还具有监测和控制部件和系统的能力，以使车辆在运行时保持很低的排放水平。
OBD-Ⅱ系统具有广泛的监测器功能，特别能监测汽车动力系统的运行工况。OBD-Ⅱ的监测器包括：发动机缺火监测器、催化器效率监测器、燃油系统监测器、加热型氧传感器监测器、废气再循环监测器、燃油蒸发控制系统监测器和二次空气喷射监测器等。",1,text
"水平。
OBD-Ⅱ系统具有广泛的监测器功能，特别能监测汽车动力系统的运行工况。OBD-Ⅱ的监测器包括：发动机缺火监测器、催化器效率监测器、燃油系统监测器、加热型氧传感器监测器、废气再循环监测器、燃油蒸发控制系统监测器和二次空气喷射监测器等。
OBD-Ⅱ系统具有统一的诊断座和统一的故障码，OBD-Ⅱ的诊断座统一为双排共16针，规定诊断座的安装位置在仪表板下方、转向柱和汽车中心线之间。诊断座的形式和各引脚的定义见图1-1。OBD-Ⅱ故障码均由5位英文字母和数字共同组成。
第一个字符：故障所属的系统
\- P=Powertrain 动力传动系统
\- B=Body 车身
\- C=Chassis 底盘
\- U=Network 网络
第二个字符：故障类型
第二个字符表明这个故障码是一个由 ISO/SAE 标准定义的故障码（Core DTCs），还是由车辆制造厂定义、尚未统一的故障码（Non-uniform Code）。
\- 车身系统组（Body system groupings）
第一章 汽车自诊断概论
○ B0××× ISO/SAE 标准定义
○ B1×××生产厂家定义
○ B2×××生产厂家定义
○ B3×××预留
\- 底盘系统组（Chassis system groupings）
○ C0×××ISO/SAE 标准定义
○ C1×××生产厂家定义
○ C2×××生产厂家定义","1,2","aside_text,text"
"○ B1×××生产厂家定义
○ B2×××生产厂家定义
○ B3×××预留
\- 底盘系统组（Chassis system groupings）
○ C0×××ISO/SAE 标准定义
○ C1×××生产厂家定义
○ C2×××生产厂家定义
○ C3×××预留
\- 动力传动系统组（Powertrain system groupings）
○ P0××× ISO/SAE 标准定义
○ P1×××生产厂家定义
○ P2××× ISO/SAE 标准定义
○ P3×××生产厂家定义和 ISO/SAE 预留
\- 网络组（Network groupings）
○ U0××× ISO/SAE 标准定义
○ U1×××生产厂家定义
○ U2×××生产厂家定义
○ U3×××生产厂家定义和 ISO/SAE 预留
第三个字符：子系统
第三个字符定义了故障所属的子系统。
第四和第五个字符
故障码的最后两个字符代表了具体的故障对象和类型。
三、故障码的分析方法
故障码分析就是在读取故障码的基础上，结合其他的检测结果对所读取的故障码进行比较分析，从而做出故障判断的一种方法。它是汽车电子控制系统故障诊断中最基本也是最简单的诊断方法之一。故障码分析是对汽车电子控制系统进行故障诊断的第一步。
1. 故障的确认",2,text
"码分析就是在读取故障码的基础上，结合其他的检测结果对所读取的故障码进行比较分析，从而做出故障判断的一种方法。它是汽车电子控制系统故障诊断中最基本也是最简单的诊断方法之一。故障码分析是对汽车电子控制系统进行故障诊断的第一步。
1. 故障的确认
任何故障码的设定都具有其相应的设定条件，当自诊断系统检测到某一个或几个信号超出其设定条件时，将设定故障码，一般来讲，对故障的确认有以下几种方法：
（1）值域判定法。电子控制单元接收到的输入信号超出规定的数值范围时，自诊断系统就判定该输入信号出现故障，比如某些车型的冷却液温度传感器设计成在正常使用温度范围 $-30\sim120^{\circ}C$ 之间，传感器的输入电压为0.3\~4.7V之间，所以当电控单元检测到冷却液温度传感器输入信号的电压小于0.15V或大于4.85V时，就会判定冷却液温度传感器信号系统的电路发生短路或断路故障。
第一章 汽车自诊断概论
（2）时域判定法。当电子控制单元检测时发现某一输入信号在一定的时间范围内没有发生应该发生的变化或变化没有达到预先规定的次数时，自诊断系统就确定该信号出现故障。比如氧传感器在发动机达到正常温度且电控系统进入闭环运行状态后控制单元检测不到氧传感器的输出信号超过一段时间，或者氧传感器信号在0.45V上下没有变化的情况已经超过一定的时间，自诊断系统就判定氧传感器信号出现故障。","2,3","aside_text,text"
"断系统就确定该信号出现故障。比如氧传感器在发动机达到正常温度且电控系统进入闭环运行状态后控制单元检测不到氧传感器的输出信号超过一段时间，或者氧传感器信号在0.45V上下没有变化的情况已经超过一定的时间，自诊断系统就判定氧传感器信号出现故障。
（3）功能判定法。当电子控制单元向执行器发出驱动指令后，电子控制单元会检测相应的传感器或反馈信号的输出参数变化，如果输出信号没有按照程序规定的趋势产生变化，则自诊断系统就判定执行器或电路发生故障。比如在某些配备废气再循环系统的车型上，如果控制单元发出废气再循环阀（EGR）开启信号后，会检测压力传感器 MAP 输出信号是否产生了相应的变化，用以确定 EGR 是否动作，若没有变化，则确认 EGR 阀和 EGR 电路发生了故障。
（4）逻辑判定法。控制单元对两个或两个以上具有相互联系的传感器进行数据比较，当发现两个传感器信号之间的逻辑关系违反设定条件时，就判定其中一个或两个传感器有故障。比如控制单元检测到发动机转速大于某个值时，节气门位置传感器输出信号小于某个值，则判定节气门位置传感器出现故障。
2. 故障的分类",3,text
"互联系的传感器进行数据比较，当发现两个传感器信号之间的逻辑关系违反设定条件时，就判定其中一个或两个传感器有故障。比如控制单元检测到发动机转速大于某个值时，节气门位置传感器输出信号小于某个值，则判定节气门位置传感器出现故障。
2. 故障的分类
故障的出现形式有两种，一种是间歇性故障，它的特点是时有时无；另一种是持续性故障，它的特点是一旦发生就持续存在。在故障诊断过程中，间歇性故障被称为软故障（有些厂家称为延续或历史的故障），而持续性故障则被称为硬故障。由于间歇性故障的发生没有规律可循，所以间歇性故障比较难判断，在对间歇性故障进行诊断时，要重现间歇性故障产生的状态，比如采用人为的加热、晃动等措施才能重现故障发生的条件，同时还要用比较好的诊断设备来捕捉故障出现瞬间的各种数据参数变化才能对间歇性故障进行详尽的诊断。故障码也分为间歇性故障码（软故障码）和当前故障码（硬故障码）。间歇性故障码是曾经发生过而当前却不存在的故障码，当前故障码是当前仍存在的故障码。
3. 故障码的分析步骤
进行故障码分析时，应按照以下步骤进行操作：
(1) 首先读取并记录所有的故障码；
(2) 清除所有的故障码；
（3）再次执行故障码读取程序，确认所有的故障码已被清除；
（4）模拟故障产生的条件进行路试使故障重现；
(5) 再次读取故障码并记录此时读取到的故障码；
(6) 区分间歇性故障码和当前故障码；",3,text
"记录所有的故障码；
(2) 清除所有的故障码；
（3）再次执行故障码读取程序，确认所有的故障码已被清除；
（4）模拟故障产生的条件进行路试使故障重现；
(5) 再次读取故障码并记录此时读取到的故障码；
(6) 区分间歇性故障码和当前故障码；
（7）区分与故障症状有关的故障码和与故障症状无关的故障码；
（8）区分诸多故障码或相关故障码中的主要故障码（它可能是导致其他故障码产生的原因）；
(9) 按照上述分析, 进一步精确检测故障码所代表的传感器、执行器或控制单元及相
关的电路状态，以便确定故障点发生的准确位置。
在对故障码进行分析和检查的过程中，维修人员必须明确：反映某个系统故障的故障码所包含的内容不单单是指该传感器（或执行器）出现故障，而是表示该系统的信号出现不正常的现象，导致信号不正常的原因可能是系统中的部件、接头、线路或控制单元的任一部分出现故障。维修人员必须认识到：故障码仅仅是为维修人员提供了进一步检测的大方向，它仅仅是对故障范围和特性所给出的一种提示，并不能也不是告诉维修人员是车辆的什么地方和什么部件出现了故障。故障码是诊断的开始而不是诊断的最后结果。维修人员必须根据具体车型的维修资料（电路图、元器件位置、标准值、电控系统的工作原理等），利用各种可能的检测手段进行进一步的检测，才能对故障进行准确定位。
四、ISO/SAE 标准故障码
1. 车载网络系统标准故障码","3,4",text
